Date,Price,Open,High,Low,Volume,PctChange
Nov-82,235.5,217.12,241.25,216.5,426.10K,9.41%
Oct-82,215.25,221.25,227.5,214,433.49K,-3.04%
Sep-82,222,226.25,231.25,212.5,186.14K,-1.99%
Aug-82,226.5,247.12,250.5,218.75,189.83K,-7.83%
Jul-82,245.75,265.5,274,241.75,143.55K,-7.53%
Jun-82,265.75,274.62,278,265.5,301.03K,-3.36%
May-82,275,277.12,283.5,267.5,146.34K,-0.36%
Apr-82,276,274.88,283.25,274,293.77K,0.64%
Mar-82,274.25,257.25,275.5,254.5,159.78K,6.82%
Feb-82,256.75,273.62,279.5,255.25,321.10K,-6.30%
Jan-82,274,273,277.5,268,349.80K,1.29%
Dec-81,270.5,261.38,276,236,145.81K,3.54%
Nov-81,261.25,288,290.5,261,331.89K,-9.13%
Oct-81,287.5,289.38,299.5,285,438.80K,-0.17%
Sep-81,288,290.88,297.5,272,173.19K,-2.12%
Aug-81,294.25,335.75,336,288,241.41K,-13.07%
Jul-81,338.5,324.75,355.5,324,126.67K,4.80%
Jun-81,323,353.5,354,320.5,-,-8.17%
May-81,351.75,361.5,363.5,339,-,-2.56%
Apr-81,361,364,372.5,355.5,-,-1.03%
Mar-81,364.75,357.5,390.5,342.5,-,1.46%
Feb-81,359.5,357,369.5,355,-,1.13%
Jan-81,355.5,377.5,384.75,351.75,-,-5.95%
Dec-80,378,395.5,396,335,-,-4.00%
Nov-80,393.75,374,395.75,370.75,-,5.42%
Oct-80,373.5,349.5,380,341,-,7.10%
Sep-80,348.75,359.5,363,340,-,-2.79%
Aug-80,358.75,334.5,359,329.75,-,7.01%
Jul-80,335.25,284.5,335.25,284.5,-,17.84%
Jun-80,284.5,276.75,285.25,273,-,2.80%
May-80,276.75,266,282.5,265.25,-,4.14%
Apr-80,265.75,258.5,276,257.75,-,2.90%
